Period,Kanton,Fahrzeugart,Treibstoff,Marke,Anzahl
2026-01,ZH,Personenwagen,Benzin,VW,2400
2026-01,ZH,Personenwagen,Elektrisch,Tesla,900
2026-01,ZH,Personenwagen,Hybrid,Toyota,500
2026-01,BE,Personenwagen,Benzin,VW,1800
2026-01,BE,Personenwagen,Elektrisch,Tesla,450
2026-01,GE,Personenwagen,Elektrisch,Tesla,320
2026-01,GE,Personenwagen,Benzin,Renault,710
2026-01,TI,Personenwagen,Benzin,FIAT,520
2026-02,ZH,Personenwagen,Benzin,VW,2250
2026-02,ZH,Personenwagen,Elektrisch,Tesla,1100
2026-02,ZH,Personenwagen,Hybrid,Toyota,540
2026-02,BE,Personenwagen,Benzin,VW,1750
2026-02,BE,Personenwagen,Elektrisch,Tesla,500
2026-02,GE,Personenwagen,Elektrisch,Tesla,360
2026-02,GE,Personenwagen,Benzin,Renault,680
2026-02,TI,Personenwagen,Benzin,FIAT,490
2026-02,VD,Personenwagen,Elektrisch,Tesla,410
2026-03,ZH,Personenwagen,Benzin,VW,2300
2026-03,ZH,Personenwagen,Elektrisch,Tesla,1250
2026-03,ZH,Lastwagen,Diesel,MAN,55
2026-03,BE,Personenwagen,Benzin,VW,1820
2026-03,BE,Personenwagen,Elektrisch,Tesla,560
2026-03,GE,Personenwagen,Elektrisch,Tesla,400
2026-03,TI,Personenwagen,Benzin,FIAT,510
2026-03,VD,Personenwagen,Elektrisch,Tesla,430
2026-03,BS,Personenwagen,Elektrisch,Tesla,220
2025-12,ZH,Personenwagen,Benzin,VW,2150
2025-12,ZH,Personenwagen,Elektrisch,Tesla,840
2025-12,BE,Personenwagen,Benzin,VW,1700
2025-12,GE,Personenwagen,Elektrisch,Tesla,310
